t build_seconds sweep_seconds
169 6.0419999999999999e-06 6.2166000000000001e-05
170 5.7910000000000001e-06 5.7166999999999997e-05
171 5.9159999999999998e-06 6.525e-05
172 5.959e-06 6.2625000000000004e-05
173 6.0839999999999997e-06 5.6625000000000001e-05
174 6.1670000000000004e-06 6.5166999999999995e-05
175 6.4169999999999997e-06 6.3958e-05
176 6.4579999999999998e-06 6.5166000000000006e-05
177 6.3749999999999999e-06 6.2916000000000005e-05
178 6.3749999999999999e-06 6.1624999999999994e-05
179 6.1249999999999998e-06 6.5875000000000002e-05
180 6.2500000000000003e-06 6.3874999999999994e-05
181 6.4160000000000001e-06 6.9875000000000004e-05
182 6.1670000000000004e-06 0.00012433299999999999
183 6.5420000000000002e-06 7.8292000000000002e-05
184 6.917e-06 8.9166999999999995e-05
185 6.5830000000000003e-06 6.2374999999999998e-05
186 6.1659999999999999e-06 6.3e-05
187 6.2079999999999997e-06 5.6957999999999999e-05
188 6.2920000000000001e-06 6.1082999999999998e-05
189 6.4999999999999996e-06 6.9750000000000001e-05
190 6.3749999999999999e-06 6.2667000000000002e-05
191 6.2500000000000003e-06 6.8291000000000001e-05
192 6.1659999999999999e-06 6.3207999999999995e-05
193 6.2910000000000004e-06 7.0749999999999999e-05
194 6.3749999999999999e-06 6.4708000000000005e-05
195 6.2920000000000001e-06 6.8584000000000006e-05
196 6.0000000000000002e-06 6.5333000000000006e-05
197 5.9159999999999998e-06 6.5624999999999996e-05
198 6.2920000000000001e-06 6.3250000000000006e-05
199 6.2079999999999997e-06 6.4208000000000006e-05
200 6.083e-06 6.7708999999999998e-05
201 6.0000000000000002e-06 5.8125000000000003e-05
202 6.2079999999999997e-06 6.2791000000000002e-05
203 6.4999999999999996e-06 5.7417000000000003e-05
204 6.4169999999999997e-06 5.8332999999999999e-05
205 6.1249999999999998e-06 5.9917000000000002e-05
206 6.2079999999999997e-06 6.2582999999999994e-05
207 6.5409999999999997e-06 6.7749999999999993e-05
208 6.3749999999999999e-06 6.4583000000000002e-05
209 6.2500000000000003e-06 6.3874999999999994e-05
210 6.2910000000000004e-06 6.0458000000000003e-05
211 6.4999999999999996e-06 6.4917000000000002e-05
212 6.4169999999999997e-06 6.2708999999999999e-05
213 6.3749999999999999e-06 6.1500000000000004e-05
214 6.4999999999999996e-06 6.1749999999999997e-05
215 6.3339999999999998e-06 6.1209000000000003e-05
216 6.0839999999999997e-06 6.1500000000000004e-05
217 6.4169999999999997e-06 6.7540999999999996e-05
218 6.1249999999999998e-06 6.5958999999999996e-05
219 6.2500000000000003e-06 6.9750000000000001e-05
220 6.3339999999999998e-06 6.7999999999999999e-05
221 6.1249999999999998e-06 6.6124999999999995e-05
222 6.1249999999999998e-06 6.1082999999999998e-05
223 6.2500000000000003e-06 6.7958000000000002e-05
224 6.2920000000000001e-06 6.5791999999999996e-05
225 6.1249999999999998e-06 6.2000000000000003e-05
226 6.3749999999999999e-06 6.6291000000000006e-05
227 6.4160000000000001e-06 5.9791999999999999e-05
228 5.75e-06 5.6292000000000002e-05
229 5.7080000000000002e-06 5.8749999999999998e-05
230 5.6670000000000001e-06 6.1416999999999998e-05
231 5.6250000000000004e-06 5.6957999999999999e-05
232 5.8749999999999997e-06 5.8458999999999997e-05
233 5.8329999999999999e-06 6.3458000000000001e-05
234 5.6250000000000004e-06 0.000131583
235 6.2910000000000004e-06 6.8833999999999999e-05
236 5.6670000000000001e-06 6.1542000000000001e-05
237 5.6250000000000004e-06 6.2416999999999995e-05
238 5.75e-06 5.9833999999999997e-05
239 5.3750000000000002e-06 5.4500000000000003e-05
240 5.417e-06 7.5084000000000001e-05
241 6.0000000000000002e-06 6.4165999999999995e-05
242 6.083e-06 0.00012866700000000001
243 5.7080000000000002e-06 0.00019429199999999999
