t build_seconds sweep_seconds
427 4.4159999999999997e-06 4.4332999999999997e-05
428 4.4580000000000003e-06 4.2916e-05
429 5.417e-06 4.6499999999999999e-05
430 4.3749999999999996e-06 4.3999999999999999e-05
431 4.2919999999999997e-06 4.1832999999999997e-05
432 4.25e-06 4.2709000000000001e-05
433 4.25e-06 4.2457999999999999e-05
434 4.2910000000000001e-06 4.0584000000000003e-05
435 4.25e-06 4.0583000000000001e-05
436 4.8330000000000001e-06 4.3708000000000002e-05
437 4.3749999999999996e-06 4.4166999999999999e-05
438 4.2080000000000002e-06 4.7166999999999998e-05
439 4.3329999999999998e-06 4.2249999999999997e-05
440 4.5839999999999996e-06 4.2750000000000002e-05
441 4.4580000000000003e-06 4.4959000000000001e-05
442 4.459e-06 4.2750000000000002e-05
443 4.2919999999999997e-06 4.1875000000000001e-05
444 4.1670000000000001e-06 4.3708000000000002e-05
445 4.1659999999999996e-06 3.875e-05
446 4.1670000000000001e-06 4.0374999999999999e-05
447 4.5419999999999999e-06 4.5707999999999997e-05
448 4.3749999999999996e-06 4.4166999999999999e-05
449 4.5000000000000001e-06 4.0417000000000003e-05
450 4.25e-06 3.8917e-05
451 4.1670000000000001e-06 4.4042000000000003e-05
452 4.2919999999999997e-06 4.0874999999999997e-05
453 4.25e-06 4.1499999999999999e-05
454 4.2080000000000002e-06 4.4416999999999998e-05
455 4.4580000000000003e-06 4.5459e-05
456 4.3329999999999998e-06 4.2583999999999998e-05
457 4.3340000000000003e-06 4.4583000000000003e-05
458 6.4169999999999997e-06 4.5958000000000003e-05
459 4.2919999999999997e-06 4.0417000000000003e-05
460 4.1670000000000001e-06 4.0707999999999997e-05
461 4.3329999999999998e-06 4.1458000000000002e-05
462 4.5000000000000001e-06 4.5042e-05
463 4.3329999999999998e-06 4.5541999999999999e-05
464 4.459e-06 4.5167000000000003e-05
465 4.2910000000000001e-06 4.5333000000000001e-05
466 4.3329999999999998e-06 4.2750000000000002e-05
467 4.3329999999999998e-06 4.0459e-05
468 4.4580000000000003e-06 4.3041999999999999e-05
469 5.5840000000000002e-06 4.2667000000000003e-05
470 4.4580000000000003e-06 4.5958000000000003e-05
471 4.2919999999999997e-06 4.1749999999999998e-05
472 4.3340000000000003e-06 3.9625000000000001e-05
473 4.25e-06 4.2292000000000001e-05
474 4.3749999999999996e-06 3.9833999999999998e-05
475 4.2919999999999997e-06 3.8917e-05
476 4.3329999999999998e-06 3.8958000000000002e-05
477 4.4170000000000002e-06 4.0207999999999999e-05
478 4.1659999999999996e-06 3.6417e-05
479 4.2089999999999999e-06 3.8000000000000002e-05
480 4.1670000000000001e-06 3.9708e-05
481 4.1670000000000001e-06 3.9082999999999998e-05
482 4.3749999999999996e-06 4.0791000000000003e-05
483 4.2910000000000001e-06 3.8500000000000001e-05
484 4.2919999999999997e-06 4.3291999999999998e-05
485 4.2919999999999997e-06 3.9167e-05
486 4.25e-06 4.2249999999999997e-05
487 4.1670000000000001e-06 4.5124999999999999e-05
